Temperature,Stress,Ni,Al,Co,Cr,Mo,Re,Ru,Ti,Ta,W,Hf,Nb,Si,C,Y,Ce,B,Ni_A1,Al_A1,Co_A1,Cr_A1,Mo_A1,Re_A1,Ru_A1,Ti_A1,Ta_A1,W_A1,Hf_A1,Ni_L12,Al_L12,Co_L12,Cr_L12,Mo_L12,Re_L12,Ru_L12,Ti_L12,Ta_L12,W_L12,Hf_L12,creep_life
1040,137,66.45,6,3.9,4.15,6,0,0,0,7.5,6,0,0,0,0,0,0,0,0.208805331,0.024256985,0.024614091,0.032018303,0.026255467,0,0,0,0.001520157,0.010149668,0,0.482755392,0.111568013,0.015807654,0.016735538,0.011941469,0,0,0,0.023795528,0.009783129,0,201
980,200,66.45,6,3.9,4.15,6,0,0,0,7.5,6,0,0,0,0,0,0,0,0.172076265,0.017415478,0.02221671,0.029803978,0.023981383,0,0,0,0.0008259,0.008977533,0,0.519479454,0.118408733,0.018204464,0.018943658,0.014218614,0,0,0,0.02449486,0.010957464,0,101
980,200,68.45,6,3.9,4.15,6,0,0,0,7.5,4,0,0,0,0,0,0,0,0.187638307,0.018762105,0.022285572,0.02947057,0.022576079,0,0,0,0.001015334,0.005879157,0,0.514779933,0.115161734,0.017567044,0.018599981,0.015087997,0,0,0,0.023949879,0.007223432,0,282
800,760,66.45,6,3.9,4.15,6,0,0,0,7.5,6,0,0,0,0,0,0,0,0.009323137,0.000504801,0.001175087,0.002131159,0.000717629,0,0,0,1.76E-05,0.000520486,0,0.672331341,0.135316239,0.038621312,0.039162311,0.025054253,0,0,0,0.025301013,0.019269482,0,165
1010,200,68.45,6,3.9,4.15,6,0,0,0,7.5,4,0,0,0,0,0,0,0,0.207293744,0.022307971,0.023592178,0.030738933,0.023951882,0,0,0,0.001356779,0.006288513,0,0.495125064,0.111616523,0.016263007,0.01733078,0.013709934,0,0,0,0.02360737,0.006810477,0,74
1000,200,68.45,6,3.9,4.15,6,0,0,0,7.5,4,0,0,0,0,0,0,0,0.200551966,0.021070471,0.023160383,0.030320549,0.023503092,0,0,0,0.00123314,0.006150399,0,0.501866391,0.112852966,0.016697881,0.017752776,0.014164744,0,0,0,0.023728202,0.00695398,0,111
800,800,64.29,5.98,5.97,5.82,6.25,0,0,0,7.62,4.07,0,0,0,0,0,0,0,0.0436985,0.002817353,0.008450582,0.014167977,0.003098645,0,0,0,7.68E-05,0.00152016,0,0.605458514,0.13072234,0.047161182,0.040117745,0.022890134,0,0,0,0.025223937,0.010897475,0,79
800,800,60.76,5.99,5.89,5.8,6.07,0,1.98,0,7.55,5.96,0,0,0,0,0,0,0,0.009274865,0.000497479,0.002131216,0.003160038,0.000714073,0,0.000748625,0,9.11E-06,0.000654423,0,0.609116993,0.136050886,0.048728622,0.032574775,0.019764471,0,0.002812294,0,0.025654454,0.018586036,0,85
1100,137,64.29,5.98,5.97,5.82,6.25,0,0,0,7.62,4.07,0,0,0,0,0,0,0,0.30871949,0.046785906,0.047571631,0.054310736,0.032985348,0,0,0,0.003943736,0.009353152,0,0.351302374,0.086748557,0.013465433,0.013127929,0.006268648,0,0,0,0.021431529,0.00398553,0,68
1100,137,60.76,5.99,5.89,5.8,6.07,0,1.98,0,7.55,5.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.636795492,0.136551052,0.0614751,0.068611676,0.038912674,0,0.012053038,0,0.025667488,0.019938394,0,125
